Date,Time,Temp.C
2010/1/10,18:15,9.39
2010/1/10,18:30,9.39
2010/1/10,18:45,9.39
2010/1/10,19:00,9.39
2010/1/10,19:15,9.36
2010/1/10,19:30,9.36
2010/1/10,19:45,9.36
2010/1/10,20:00,9.34
2010/1/10,20:15,9.34
2010/1/10,20:30,9.34
2010/1/10,20:45,9.34
2010/1/10,21:00,9.34
2010/1/10,21:15,9.31
2010/1/10,21:30,9.31
2010/1/10,21:45,9.31
2010/1/10,22:00,9.31
2010/1/10,22:15,9.29
2010/1/10,22:30,9.29
2010/1/10,22:45,9.29
2010/1/10,23:00,9.29
2010/1/10,23:15,9.29
2010/1/10,23:30,9.29
2010/1/10,23:45,9.29
2010/1/11,0:00,9.29
2010/1/11,0:15,9.26
2010/1/11,0:30,9.26
2010/1/11,0:45,9.26
2010/1/11,1:00,9.26
2010/1/11,1:15,9.26
2010/1/11,1:30,9.26
2010/1/11,1:45,9.26
2010/1/11,2:00,9.26
2010/1/11,2:15,9.26
2010/1/11,2:30,9.26
2010/1/11,2:45,9.26
2010/1/11,3:00,9.26
2010/1/11,3:15,9.29
2010/1/11,3:30,9.26
2010/1/11,3:45,9.26
2010/1/11,4:00,9.26
2010/1/11,4:15,9.26
2010/1/11,4:30,9.26
2010/1/11,4:45,9.26
2010/1/11,5:00,9.26
2010/1/11,5:15,9.26
2010/1/11,5:30,9.26
2010/1/11,5:45,9.26
2010/1/11,6:00,9.24
2010/1/11,6:15,9.24
2010/1/11,6:30,9.24
2010/1/11,6:45,9.24
2010/1/11,7:00,9.24
2010/1/11,7:15,9.24
2010/1/11,7:30,9.24
2010/1/11,7:45,9.21
2010/1/11,8:00,9.21
2010/1/11,8:15,9.21
2010/1/11,8:30,9.21
2010/1/11,8:45,9.24
2010/1/11,9:00,9.24
2010/1/11,9:15,9.24
2010/1/11,9:30,9.24
2010/1/11,9:45,9.24
2010/1/11,10:00,9.24
2010/1/11,10:15,9.24
2010/1/11,10:30,9.24
2010/1/11,10:45,9.24
2010/1/11,11:00,9.24
2010/1/11,11:15,9.24
2010/1/11,11:30,9.24
2010/1/11,11:45,9.24
2010/1/11,12:00,9.26
2010/1/11,12:15,9.26
2010/1/11,12:30,9.26
2010/1/11,12:45,9.29
2010/1/11,13:00,9.29
2010/1/11,13:15,9.29
2010/1/11,13:30,9.31
2010/1/11,13:45,9.31
2010/1/11,14:00,9.31
2010/1/11,14:15,9.31
2010/1/11,14:30,9.31
2010/1/11,14:45,9.31
2010/1/11,15:00,9.31
2010/1/11,15:15,9.34
2010/1/11,15:30,9.31
2010/1/11,15:45,9.31
2010/1/11,16:00,9.31
2010/1/11,16:15,9.31
2010/1/11,16:30,9.29
2010/1/11,16:45,9.31
2010/1/11,17:00,9.31
